chip_id,true_label,tprop_0h,tprop_24h,tprop_96h,tprop_168h,iddq_0h,iddq_24h,iddq_96h,iddq_168h
IC_0103,NOMINAL,12.542,12.524,12.644,12.695,9.037,9.606,9.769,10.096
IC_0104,NOMINAL,12.165,12.203,12.239,12.36,9.806,10.262,10.456,10.784
IC_0105,NOMINAL,12.751,12.769,12.817,12.894,10.485,10.876,11.047,11.395
IC_0106,NOMINAL,11.69,11.637,11.813,11.776,12.263,12.662,12.79,13.15
IC_0107,NOMINAL,11.502,11.499,11.582,11.668,10.209,10.519,11.062,11.469
IC_0108,NOMINAL,11.289,11.302,11.392,11.451,10.309,10.567,11.039,11.341
IC_0109,NOMINAL,12.598,12.702,12.694,12.767,9.911,10.261,10.647,10.816
IC_0110,NOMINAL,12.262,12.317,12.351,12.381,7.697,8.081,8.325,8.697
IC_0111,NOMINAL,11.978,11.957,12.031,12.173,9.968,10.303,10.899,10.99
IC_0112,NOMINAL,12.112,12.161,12.223,12.161,10.072,10.545,10.894,11.561
IC_0113,NOMINAL,11.55,11.521,11.658,11.701,12.956,13.512,13.754,14.316
IC_0114,NOMINAL,12.978,13.046,13.081,13.09,9.769,10.091,10.556,10.443
IC_0115,NOMINAL,12.052,12.056,12.109,12.202,10.362,10.877,11.157,10.998
IC_0116,NOMINAL,12.044,12.065,12.178,12.18,9.958,10.106,10.427,10.936
IC_0117,NOMINAL,12.29,12.366,12.331,12.356,8.598,8.853,9.118,9.49
IC_0118,NOMINAL,12.192,12.17,12.357,12.306,11.371,11.624,12.058,12.476
IC_0119,NOMINAL,12.09,12.068,12.133,12.278,10.902,11.046,11.706,12.068
IC_0120,NOMINAL,11.684,11.683,11.777,11.801,10.949,11.219,11.703,11.732
IC_0121,NOMINAL,12.189,12.254,12.287,12.291,8.909,9.186,9.538,9.797
IC_0122,NOMINAL,12.753,12.72,12.814,12.882,11.683,12.258,12.418,12.683
IC_0123,NOMINAL,12.538,12.459,12.668,12.746,8.318,8.836,8.961,9.188
IC_0124,NOMINAL,12.637,12.645,12.776,12.755,10.704,10.876,11.526,11.596
IC_0125,NOMINAL,11.796,11.846,11.802,11.944,12.629,13.263,13.236,13.512
IC_0126,NOMINAL,11.604,11.675,11.7,11.811,8.811,9.277,9.45,9.641
IC_0127,NOMINAL,11.95,11.955,11.93,12.02,9.32,9.707,10.029,10.619
IC_0128,NOMINAL,12.022,12.04,12.099,12.132,10.12,10.517,11.286,11.401
IC_0129,NOMINAL,12.438,12.518,12.617,12.652,9.396,9.68,10.154,10.566
IC_0130,NOMINAL,11.323,11.27,11.374,11.414,8.139,8.36,8.303,9.064
IC_0131,NOMINAL,12.612,12.63,12.679,12.781,10.082,10.672,11.06,11.365
IC_0132,NOMINAL,11.937,11.975,12.03,12.066,8.725,9.385,9.835,9.859
IC_0133,NOMINAL,11.829,11.88,12.022,11.995,10.568,11.213,11.675,11.833
IC_0134,NOMINAL,11.595,11.603,11.615,11.807,8.897,9.171,9.703,10.193
IC_0135,NOMINAL,11.338,11.368,11.392,11.522,11.86,12.049,12.583,12.706
IC_0136,NOMINAL,12.329,12.258,12.484,12.514,9.06,9.434,9.968,10.134
IC_0137,NOMINAL,12.029,12.033,12.206,12.135,9.614,9.729,10.317,10.558
IC_0138,NOMINAL,11.484,11.526,11.56,11.565,10.976,11.323,11.712,11.906
IC_0139,NOMINAL,11.482,11.465,11.508,11.488,8.523,8.782,9.225,9.183
IC_0140,NOMINAL,11.866,11.894,12.036,11.972,10.273,10.528,11.155,11.133
IC_0141,NOMINAL,12.668,12.716,12.835,12.871,11.569,11.716,12.846,12.624
IC_0142,NOMINAL,11.896,11.907,12.006,12.048,8.071,8.456,8.816,9.092
IC_0143,NOMINAL,11.399,11.436,11.468,11.553,10.222,10.524,10.997,11.445
IC_0144,NOMINAL,11.902,11.898,12.014,12.084,10.312,10.565,11.264,11.344
IC_0145,NOMINAL,11.891,11.906,11.962,11.987,10.938,10.798,11.321,11.773
IC_0146,NOMINAL,10.921,10.976,11.037,11.092,8.516,8.894,9.263,9.495
IC_0147,NOMINAL,11.978,12.012,12.129,12.156,8.415,9.027,9.125,9.21
IC_0148,NOMINAL,11.908,11.917,12.053,12.019,10.626,11.288,11.468,11.767
IC_0149,NOMINAL,12.278,12.312,12.317,12.42,10.356,10.592,11.057,11.174
IC_0150,NOMINAL,12.74,12.799,12.898,12.941,10.301,10.595,11.036,11.759
IC_0151,NOMINAL,12.451,12.401,12.572,12.608,10.416,10.894,11.494,11.641
IC_0152,NOMINAL,11.892,11.973,12.034,12.102,9.184,9.459,10.131,10.185
IC_0153,NOMINAL,11.557,11.575,11.719,11.834,10.279,10.708,11.133,11.284
IC_0154,NOMINAL,13.029,13.075,13.08,13.176,10.352,10.821,11.093,11.512
IC_0155,NOMINAL,12.024,12.101,12.122,12.199,9.143,9.7,9.999,10.517
IC_0156,NOMINAL,12.006,11.984,12.095,12.152,12.239,12.637,13.283,13.175
IC_0157,NOMINAL,11.99,11.991,12.026,12.154,10.569,10.904,11.254,11.327
IC_0158,NOMINAL,12.079,12.09,12.168,12.217,8.57,8.719,9.098,9.649
IC_0159,NOMINAL,11.942,11.945,12.156,12.13,10.788,11.087,11.685,12.048
IC_0160,NOMINAL,11.771,11.871,11.8,11.894,8.83,9.181,9.486,9.793
IC_0161,NOMINAL,11.781,11.778,11.882,11.953,10.945,11.382,11.675,12.112
IC_0162,NOMINAL,11.987,11.989,12.095,12.178,11.39,11.837,12.01,11.876
IC_0163,NOMINAL,11.783,11.821,11.889,11.963,9.015,9.275,9.993,10.095
IC_0164,NOMINAL,11.715,11.694,11.801,11.897,11.156,11.718,11.949,12.166
IC_0165,NOMINAL,12.043,12.057,12.092,12.195,10.495,10.833,11.369,11.71
IC_0166,NOMINAL,11.898,11.934,11.986,12.053,10.986,11.276,11.767,11.666
IC_0167,NOMINAL,12.602,12.619,12.673,12.775,12.276,12.544,13.102,13.368
IC_0168,NOMINAL,10.94,10.971,10.968,11.086,9.706,9.775,10.731,10.799
IC_0169,NOMINAL,12.437,12.438,12.56,12.57,9.096,9.512,9.712,9.94
IC_0170,NOMINAL,12.498,12.472,12.652,12.642,8.933,9.473,9.931,10.02
IC_0171,NOMINAL,11.171,11.211,11.264,11.29,9.021,9.319,9.692,9.926
IC_0172,NOMINAL,11.863,11.966,11.983,12.047,9.907,10.331,10.463,10.933
IC_0173,NOMINAL,11.851,11.884,12.001,12.034,10.409,10.886,11.28,11.642
IC_0174,NOMINAL,11.437,11.475,11.544,11.545,10.332,10.463,11.36,11.499
IC_0175,NOMINAL,11.689,11.748,11.83,11.898,10.993,11.306,12.006,12.073
IC_0176,NOMINAL,11.556,11.538,11.655,11.755,10.016,10.549,11.085,11.199
IC_0177,NOMINAL,12.701,12.796,12.844,12.818,11.744,11.896,12.687,12.492
IC_0178,NOMINAL,12.374,12.409,12.475,12.452,9.682,10.054,10.426,10.568
IC_0179,NOMINAL,12.509,12.604,12.618,12.665,13.264,13.442,14.144,14.34
IC_0180,NOMINAL,12.289,12.292,12.346,12.443,10.751,11.224,11.557,12.29
IC_0181,NOMINAL,11.548,11.653,11.666,11.722,8.971,9.362,9.807,9.93
IC_0182,NOMINAL,11.79,11.853,11.864,11.947,8.715,8.874,9.703,10.076
IC_0183,NOMINAL,12.196,12.245,12.262,12.262,10.579,11.098,11.528,11.708
IC_0184,NOMINAL,11.511,11.553,11.587,11.668,9.732,10.027,10.614,10.925
IC_0185,NOMINAL,12.285,12.299,12.321,12.399,10.857,11.03,11.447,11.959
IC_0186,NOMINAL,11.904,11.981,12.086,12.083,10.568,10.96,11.375,11.652
IC_0187,NOMINAL,11.85,11.878,11.977,11.94,9.913,10.362,10.62,10.758
IC_0188,NOMINAL,12.284,12.232,12.449,12.491,8.984,9.159,9.497,9.906
IC_0189,NOMINAL,12.178,12.16,12.218,12.244,8.182,8.525,8.582,9.314
IC_0190,NOMINAL,11.856,11.875,11.949,12.052,9.464,9.867,10.136,10.59
IC_0191,NOMINAL,12.464,12.507,12.515,12.619,11.028,11.517,11.704,12.03
IC_0192,NOMINAL,11.568,11.592,11.63,11.746,10.257,10.621,10.933,11.017
IC_0193,NOMINAL,12.246,12.323,12.302,12.397,8.505,8.797,9.256,9.46
IC_0194,NOMINAL,12.237,12.184,12.371,12.416,10.208,10.397,10.839,10.979
IC_0195,NOMINAL,11.876,11.909,11.95,12.003,10.462,10.81,11.427,11.404
IC_0196,NOMINAL,12.13,12.083,12.257,12.219,8.939,9.09,9.684,10.011
IC_0197,NOMINAL,11.5,11.553,11.601,11.679,10.184,10.034,10.871,10.933
IC_0198,NOMINAL,12.37,12.396,12.561,12.523,10.07,10.506,10.991,11.118
IC_0199,NOMINAL,11.926,11.973,11.969,12.097,8.628,9.145,9.308,9.721
IC_0200,NOMINAL,11.791,11.786,11.941,12.0,10.429,10.449,11.418,11.618
IC_0201,NOMINAL,12.42,12.499,12.559,12.527,10.673,10.871,11.44,11.328
IC_0202,NOMINAL,11.718,11.787,11.769,11.885,11.3,11.728,12.149,12.163
IC_0203,NOMINAL,11.437,11.493,11.587,11.589,11.265,11.985,12.023,12.467
IC_0204,NOMINAL,11.377,11.401,11.487,11.525,8.347,8.708,8.911,9.544
IC_0205,NOMINAL,12.242,12.294,12.327,12.395,8.875,9.117,9.781,9.8
IC_0206,NOMINAL,11.488,11.482,11.53,11.547,10.618,10.871,11.299,11.132
IC_0207,NOMINAL,12.702,12.763,12.761,12.811,10.617,11.153,11.216,11.647
IC_0208,NOMINAL,11.167,11.26,11.339,11.364,10.618,10.857,11.237,11.477
IC_0209,NOMINAL,12.679,12.749,12.769,12.858,14.623,14.842,15.548,15.408
IC_0210,NOMINAL,12.084,12.085,12.214,12.239,10.685,10.98,11.326,11.636
IC_0211,NOMINAL,11.961,12.005,12.026,12.125,11.363,11.58,12.412,12.358
IC_0212,NOMINAL,11.782,11.76,11.85,11.929,11.145,11.535,11.839,12.111
IC_0213,NOMINAL,12.16,12.214,12.309,12.383,10.782,11.422,11.762,11.578
IC_0214,NOMINAL,11.985,12.035,12.039,12.149,9.622,10.074,10.473,10.905
IC_0215,NOMINAL,12.441,12.398,12.529,12.617,10.911,11.262,11.869,12.208
IC_0216,NOMINAL,12.046,12.033,12.161,12.273,9.073,9.455,9.942,10.383
IC_0217,NOMINAL,12.06,12.071,12.139,12.148,9.716,9.76,10.313,10.338
IC_0218,NOMINAL,11.855,11.867,11.929,12.048,9.418,9.857,10.108,10.259
IC_0219,NOMINAL,11.977,11.951,12.067,12.034,10.098,10.364,10.566,10.885
IC_0220,NOMINAL,12.123,12.169,12.252,12.349,12.778,13.129,13.732,13.942
IC_0221,NOMINAL,11.316,11.359,11.457,11.479,7.759,8.656,8.613,9.046
IC_0222,NOMINAL,11.461,11.478,11.505,11.585,10.824,11.183,11.49,11.607
IC_0223,NOMINAL,12.297,12.301,12.399,12.402,8.065,8.374,8.857,9.277
IC_0224,NOMINAL,12.068,12.133,12.193,12.172,9.434,9.655,9.686,10.314
IC_0225,NOMINAL,11.926,12.026,12.075,12.065,11.307,11.902,12.222,12.728
IC_0226,NOMINAL,12.007,12.015,12.041,12.124,10.077,10.426,11.178,11.125
IC_0227,NOMINAL,12.139,12.138,12.231,12.258,8.707,8.783,9.475,9.655
IC_0228,NOMINAL,11.784,11.832,11.799,11.973,9.142,9.632,9.925,10.156
IC_0229,NOMINAL,11.689,11.7,11.775,11.832,10.816,11.032,11.482,11.926
IC_0230,NOMINAL,12.078,12.098,12.24,12.227,9.124,9.725,9.842,10.097
IC_0231,NOMINAL,11.609,11.664,11.658,11.703,10.26,10.746,11.065,11.053
IC_0232,NOMINAL,12.163,12.119,12.238,12.3,10.055,10.39,10.775,11.409
IC_0233,NOMINAL,11.319,11.401,11.446,11.545,9.218,9.771,10.19,10.349
IC_0234,NOMINAL,12.412,12.441,12.437,12.521,12.573,12.908,13.405,13.43
IC_0235,NOMINAL,12.189,12.202,12.263,12.414,10.761,11.261,11.698,11.747
IC_0236,NOMINAL,12.102,12.13,12.23,12.258,7.57,8.031,8.503,8.72
IC_0237,NOMINAL,12.393,12.417,12.453,12.529,10.224,10.416,10.938,11.2
IC_0238,NOMINAL,12.666,12.624,12.748,12.854,9.206,9.45,10.067,10.205
IC_0239,NOMINAL,12.406,12.489,12.514,12.582,11.023,11.473,11.77,11.908
IC_0240,NOMINAL,11.264,11.29,11.362,11.389,9.049,9.303,9.675,10.169
IC_0241,NOMINAL,11.488,11.537,11.601,11.636,9.862,10.185,10.631,11.113
IC_0242,NOMINAL,11.75,11.813,11.818,11.878,10.606,10.767,11.3,11.5
IC_0243,NOMINAL,12.01,11.998,12.121,12.177,11.039,11.461,12.071,12.2
IC_0244,NOMINAL,12.207,12.257,12.306,12.408,8.56,9.257,9.238,9.507
IC_0245,NOMINAL,11.71,11.722,11.806,11.835,9.599,9.731,10.031,10.49
IC_0246,NOMINAL,12.075,12.138,12.153,12.255,9.43,9.799,10.269,10.74
IC_0247,NOMINAL,11.698,11.638,11.775,11.898,9.216,9.744,9.929,10.083
IC_0248,NOMINAL,11.755,11.786,11.83,11.953,12.119,12.534,13.098,13.207
IC_0249,NOMINAL,11.437,11.441,11.53,11.6,10.486,10.906,11.308,11.389
IC_0250,NOMINAL,11.631,11.68,11.706,11.742,8.487,8.731,9.352,9.469
IC_0251,NOMINAL,11.459,11.507,11.512,11.509,11.101,11.528,12.134,12.015
IC_0252,NOMINAL,11.61,11.604,11.696,11.746,12.547,12.801,12.937,13.295
IC_0253,NOMINAL,12.421,12.423,12.531,12.578,11.239,11.763,11.953,12.096
IC_0254,NOMINAL,11.62,11.65,11.766,11.781,8.177,8.781,9.111,9.39
IC_0255,NOMINAL,13.053,13.047,13.135,13.221,9.419,10.178,9.999,10.608
IC_0256,NOMINAL,12.197,12.263,12.322,12.368,11.52,12.012,12.397,12.535
IC_0257,NOMINAL,12.074,12.092,12.207,12.296,9.151,9.615,10.326,10.559
IC_0258,NOMINAL,11.657,11.565,11.758,11.793,10.533,10.874,11.231,11.496
IC_0259,NOMINAL,12.28,12.29,12.33,12.382,10.93,11.186,11.654,11.963
IC_0260,NOMINAL,11.77,11.758,11.875,11.968,8.888,9.311,9.529,9.847
IC_0261,NOMINAL,12.049,12.011,12.155,12.185,9.929,10.225,10.596,11.025
IC_0262,NOMINAL,13.024,13.007,13.134,13.219,6.11,6.544,6.965,7.107
IC_0263,NOMINAL,11.962,11.999,11.99,12.121,8.771,9.386,9.655,10.092
IC_0264,NOMINAL,12.46,12.539,12.555,12.575,9.697,9.878,10.629,10.665
IC_0265,NOMINAL,11.719,11.756,11.891,11.856,8.503,8.987,9.285,9.476
IC_0266,NOMINAL,11.986,11.994,12.078,12.157,11.959,12.556,12.682,12.917
IC_0267,NOMINAL,12.708,12.752,12.765,12.864,8.284,8.585,9.033,9.057
IC_0268,NOMINAL,11.749,11.763,11.873,11.911,9.472,9.559,10.451,10.714
IC_0269,NOMINAL,12.725,12.725,12.829,12.798,10.157,10.408,11.092,10.989
IC_0270,NOMINAL,12.283,12.267,12.433,12.428,11.73,12.305,12.817,12.882
IC_0271,NOMINAL,11.775,11.728,11.803,11.931,8.277,8.565,8.774,8.899
IC_0272,NOMINAL,12.253,12.267,12.382,12.401,11.396,11.62,12.109,12.587
IC_0273,NOMINAL,12.389,12.423,12.506,12.527,10.012,10.284,10.598,10.814
IC_0274,NOMINAL,12.249,12.274,12.342,12.445,8.822,9.317,9.609,9.952
IC_0275,NOMINAL,11.372,11.379,11.466,11.472,10.555,10.939,11.299,11.508
IC_0276,NOMINAL,11.709,11.703,11.855,11.815,10.239,10.595,11.261,11.249
IC_0277,NOMINAL,11.901,11.958,12.046,12.07,9.28,9.637,10.187,10.538
IC_0278,NOMINAL,11.97,11.942,12.007,12.083,10.084,10.335,10.727,11.004
IC_0279,NOMINAL,12.248,12.303,12.359,12.334,9.538,9.69,10.209,10.284
IC_0280,NOMINAL,12.071,12.053,12.143,12.183,10.136,10.658,10.635,10.78
IC_0281,NOMINAL,11.466,11.466,11.57,11.646,10.795,11.123,11.949,11.572
IC_0282,NOMINAL,12.152,12.123,12.254,12.31,11.903,12.457,12.491,13.012
IC_0283,NOMINAL,12.244,12.253,12.335,12.411,8.515,9.105,9.35,9.309
IC_0284,NOMINAL,12.224,12.288,12.355,12.43,12.56,13.022,13.56,13.462
IC_0285,NOMINAL,12.432,12.48,12.519,12.563,7.657,7.93,8.411,8.577
IC_0286,NOMINAL,12.334,12.402,12.388,12.502,9.818,10.248,10.614,10.97
IC_0287,NOMINAL,12.184,12.233,12.263,12.314,10.706,11.057,11.442,11.668
IC_0288,NOMINAL,11.972,11.962,12.095,12.122,10.337,10.633,11.273,11.515
IC_0289,NOMINAL,11.336,11.346,11.464,11.439,9.253,9.599,10.122,10.208
IC_0290,NOMINAL,12.172,12.171,12.299,12.317,9.75,9.959,10.278,10.896
IC_0291,NOMINAL,12.083,12.163,12.14,12.242,9.408,9.926,10.396,10.421
IC_0292,NOMINAL,12.109,12.088,12.3,12.349,9.293,9.567,9.845,10.339
IC_0293,NOMINAL,11.489,11.556,11.604,11.627,11.02,11.439,11.847,11.895
IC_0294,NOMINAL,11.568,11.634,11.722,11.715,10.428,10.856,11.223,11.636
IC_0295,NOMINAL,12.421,12.529,12.531,12.603,9.169,9.562,10.221,10.489
IC_0296,NOMINAL,11.984,11.991,12.085,12.126,11.08,11.464,11.5,11.769
IC_0297,NOMINAL,12.273,12.324,12.384,12.408,10.369,10.59,11.09,11.163
IC_0298,NOMINAL,12.011,12.134,12.164,12.229,10.975,11.496,12.149,12.078
IC_0299,NOMINAL,12.012,12.017,12.152,12.071,10.756,10.921,11.37,11.779
IC_0300,NOMINAL,12.375,12.339,12.496,12.416,9.005,9.343,9.745,9.962
IC_0301,NOMINAL,11.794,11.741,11.858,11.897,9.328,9.907,9.872,10.362
IC_0302,NOMINAL,12.038,12.09,12.093,12.206,10.897,11.036,11.606,11.882
IC_0303,NOMINAL,11.815,11.773,11.94,11.93,10.732,11.048,11.665,11.721
IC_0304,NOMINAL,11.826,11.836,11.945,11.836,9.975,10.358,10.561,10.938
IC_0305,NOMINAL,11.876,11.92,11.955,12.039,10.141,10.495,10.943,11.269
